cone_x,cone_y,water_x,water_y,theta,radii,time
719,635,866.27490234375,883.7682474456435,4.122695781995776,289.0943406529052,126
719,635,884.77197265625,850.4835320117935,2.4179786529799774,271.87037257969496,127
719,635,902.0,813.1790603739729,0.5855620495184347,255.41491255553555,128
719,635,922.05712890625,770.9446718073,1.550550545105026,244.3627455084836,129
719,635,935.7279052734375,726.1612456212652,3.637157322016241,235.1198792689226,130
719,635,946.14599609375,684.7033644563066,5.557645454991102,232.52038185866274,131
719,635,948.47314453125,641.9281241900176,7.35980698115461,229.5777057247769,132
719,635,943.594482421875,603.973848274526,278.82760703332366,226.72737731743393,133
719,635,931.4879150390625,565.6116916071419,280.1833374769127,223.53042607052453,134
719,635,914.121337890625,535.5488483495799,281.08559929061107,219.00426494664964,135
719,635,896.1580810546875,511.3803438073594,281.7393606736576,216.02501031169027,136
719,635,874.183837890625,487.96576384666724,282.2799387280791,213.77813298758554,137
719,635,848.216796875,468.02519954000445,282.56117560304574,211.13399674919796,138
719,635,819.84228515625,454.6636024415475,282.4383791344815,206.61651134382916,139
719,635,798.90087890625,451.1010615317649,281.99867455118033,200.5067829768732,140
719,635,773.4749755859375,450.0428936339691,281.2572208443025,192.81248445156183,141
719,635,746.7242431640625,458.9013069678721,279.87709933695584,178.26772940339956,142
719,635,721.753662109375,477.4928585072148,277.9624588430565,157.53121048300514,143
719,635,696.7271118164062,504.72078043366514,185.52980995837066,132.16942384247636,144
719,635,676.0159912109375,544.1984887264389,182.61565716930787,100.46163178617421,145
719,635,661.865478515625,584.0868619991671,180.02206673325986,76.52778035681135,146
719,635,653.5139770507812,618.9616390536164,181.99458260477206,67.42142258623802,147
719,635,651.007080078125,658.1162639283519,93.86113028108159,71.81503197456456,148
719,635,647.7499389648438,700.8455139086484,95.8046177270049,97.01650838598296,149
719,635,651.0299682617188,743.005074284982,97.32475699315896,127.61277869323058,150
719,635,661.456787109375,782.934644295374,98.35743054320538,158.73210240078922,151
